Package	Version
AnnotationDbi	1.70.0
AnnotationFilter	1.32.0
Azimuth	0.5.0
BH	1.87.0-1
BPCells	0.3.1
BSgenome	1.76.0
BSgenome.Hsapiens.UCSC.hg38	1.4.5
Biobase	2.68.0
BiocGenerics	0.54.1
BiocIO	1.18.0
BiocManager	1.30.26
BiocNeighbors	2.2.0
BiocParallel	1.42.2
BiocSingular	1.24.0
Biostrings	2.76.0
Cairo	1.6-5
DBI	1.2.3
DT	0.34.0
DelayedArray	0.34.1
DelayedMatrixStats	1.30.0
DirichletMultinomial	1.50.0
EnsDb.Hsapiens.v86	2.99.0
FNN	1.1.4.1
GenomeInfoDb	1.44.3
GenomeInfoDbData	1.2.14
GenomicAlignments	1.44.0
GenomicFeatures	1.60.0
GenomicRanges	1.60.0
HDF5Array	1.36.0
IRanges	2.42.0
IRdisplay	1.1
IRkernel	1.3.2
JASPAR2020	0.99.10
KEGGREST	1.48.1
MatrixGenerics	1.20.0
ProtGenerics	1.40.0
R.methodsS3	1.8.2
R.oo	1.27.1
R.utils	2.12.3-9009
R6	2.6.1
RANN	2.6.2
RColorBrewer	1.1-3
RCurl	1.98-1.17
ROCR	1.0-11
RSQLite	2.4.3
RSpectra	0.16-2
Rcpp	1.1.0
RcppAnnoy	0.0.22
RcppArmadillo	15.0.2-2
RcppEigen	0.3.4.0.2
RcppHNSW	0.6.0
RcppML	0.3.7
RcppRoll	0.3.1
RcppTOML	0.2.3
Rdpack	2.6.4
ResidualMatrix	1.18.0
Rhdf5lib	1.30.0
RhpcBLASctl	0.23-42
Rhtslib	3.4.0
Rsamtools	2.24.1
Rtsne	0.17
S4Arrays	1.8.1
S4Vectors	0.46.0
S7	0.2.0
ScaledMatrix	1.16.0
Seurat	5.3.0
SeuratData	0.2.2.9002
SeuratDisk	0.0.0.9021
SeuratObject	5.2.1
SeuratWrappers	0.4.0
Signac	1.16.0
SingleCellExperiment	1.30.1
SoupX	1.6.2
SparseArray	1.8.1
SummarizedExperiment	1.38.1
TFBSTools	1.46.0
TFMPvalue	0.0.9
UCSC.utils	1.4.0
XML	3.99-0.19
XVector	0.48.0
abind	1.4-8
anndataR	0.99.5
askpass	1.2.1
assertthat	0.2.1
assorthead	1.2.0
base64enc	0.1-3
batchelor	1.24.0
beachmat	2.24.0
beeswarm	0.4.0
bit	4.6.0
bit64	4.6.0-1
bitops	1.0-9
blob	1.2.4
bluster	1.18.0
brew	1.0-10
brio	1.1.5
bslib	0.9.0
caTools	1.18.3
cachem	1.1.0
callr	3.7.6
cellranger	1.1.0
classInt	0.4-11
cli	3.6.5
clipr	0.8.0
commonmark	2.0.0
cowplot	1.2.0
cpp11	0.5.2
crayon	1.5.3
credentials	2.0.3
crosstalk	1.2.2
curl	7.0.0
data.table	1.17.8
deldir	2.0-4
desc	1.4.3
devtools	2.4.6
diffobj	0.3.6
digest	0.6.37
distributional	0.5.0
dotCall64	1.2
downlit	0.4.4
dplyr	1.1.4
dqrng	0.4.1
e1071	1.7-16
edgeR	4.6.3
ellipsis	0.3.2
ensembldb	2.32.0
evaluate	1.0.5
fansi	1.0.6
farver	2.1.2
fastDummies	1.7.5
fastmap	1.2.0
